Model,Accuracy,Precision,Recall,F1,Training_Time,Prediction_Time,Accuracy_N,F1_N,Training_N,Prediction_N,Interpretability,Interpretability_N,DSS_Score
Gradient Boosting,0.5265449828592607,0.530114401076716,0.5762618873445501,0.5522257273045916,12.918524980545044,0.0046339035034179,1.0,1.0,0.0,1.0,4,0.0,0.7000000000000001
Random Forest,0.5122764754933753,0.5173116089613035,0.5574250182882224,0.5366197183098591,11.928200960159302,0.0713281631469726,0.0,0.0,1.0,0.0,5,1.0,0.3
