Model,Accuracy,Precision,Recall,F1,Training_Time,Prediction_Time
Random Forest,0.5122764754933753,0.5173116089613035,0.5574250182882224,0.5366197183098591,11.928200960159302,0.07132816314697266
Gradient Boosting,0.5265449828592607,0.530114401076716,0.5762618873445501,0.5522257273045916,12.918524980545044,0.004633903503417969
