Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount,Target,MA10,EMA10,RSI,MACD,Volatility,Lag1,Lag2,Lag3
2017-08-18 05:00:00.000,BTCUSDT,4287.92,4340.62,4250.04,4313.56,64.169286,275592.04872693,367,0,4299.375,4300.80658174462,48.83716983843064,-15.67068493453371,0.020998896503120375,4287.92,4292.39,4267.59
2017-08-18 06:00:00.000,BTCUSDT,4313.56,4316.98,4247.75,4279.46,64.235424,275244.60218846,298,1,4292.647,4296.908093211503,44.04557484998,-16.523767393312482,0.016177274702882972,4313.56,4287.92,4292.39
2017-08-18 07:00:00.000,BTCUSDT,4279.46,4304.67,4270.48,4300.25,69.186804,296605.4422175,203,0,4289.317,4297.517925751216,47.43195883635537,-15.345370261093194,0.007950700540666359,4279.46,4313.56,4287.92
2017-08-18 08:00:00.000,BTCUSDT,4285.0,4320.71,4259.85,4282.73,74.829849,321236.59479609,247,1,4283.91,4294.821204773817,44.96242066273208,-15.644855467917296,0.014210561954641007,4300.25,4279.46,4313.56
2017-08-18 09:00:00.000,BTCUSDT,4265.33,4327.25,4265.33,4304.15,45.653156,196295.12733713,228,1,4285.817,4296.521479968067,48.49326637614956,-13.992487975054246,0.014386115725520737,4282.73,4300.25,4279.46
2017-08-18 10:00:00.000,BTCUSDT,4304.15,4371.52,4296.04,4356.31,51.563675,223589.16829124,227,0,4292.795,4307.413770265978,55.91072559613728,-8.377527825658944,0.01732659062371605,4304.15,4282.73,4300.25
2017-08-18 11:00:00.000,BTCUSDT,4356.31,4357.37,4302.72,4340.31,24.093449,104474.97561834,178,0,4302.467000000001,4313.404645764718,53.37168773081674,-5.159225397207592,0.012591266522437252,4356.31,4304.15,4282.73
2017-08-18 12:00:00.000,BTCUSDT,4320.52,4340.31,4287.79,4331.71,15.118957,65468.18474894,96,0,4308.879,4316.737326420318,52.00465344261753,-3.26500867523373,0.012124542039979693,4340.31,4356.31,4304.15
2017-08-18 13:00:00.000,BTCUSDT,4302.97,4318.16,4221.05,4293.09,46.533767,199050.62300749,177,0,4308.9490000000005,4312.433126696661,46.272827299888455,-4.824525389638438,0.022620070858053214,4331.71,4340.31,4356.31
2017-08-18 14:00:00.000,BTCUSDT,4293.09,4293.09,4193.7,4259.4,74.368943,315639.90667257,225,0,4306.097,4302.782143648548,41.93111865679106,-8.67890999050178,0.023334272432737085,4293.09,4331.71,4340.31
2017-08-18 15:00:00.000,BTCUSDT,4259.4,4259.4,4200.0,4236.89,39.947717,169299.81132961,199,1,4298.429999999999,4290.793016513955,39.2792214916046,-13.395491543992648,0.01401971729263673,4259.4,4293.09,4331.71
2017-08-18 16:00:00.000,BTCUSDT,4234.54,4283.79,4234.54,4250.34,45.038824,191824.09143422,197,0,4295.518,4283.433534358455,41.65368308604508,-15.865229324715983,0.01158730830945289,4236.89,4259.4,4293.09
2017-08-18 17:00:00.000,BTCUSDT,4250.34,4250.34,4066.53,4193.35,62.691466,263339.89958132,164,0,4284.8279999999995,4267.046715490961,35.346501811010555,-22.16561955947418,0.04383368905528991,4250.34,4236.89,4259.4
2017-08-18 18:00:00.000,BTCUSDT,4171.17,4297.75,4117.41,4117.41,25.318654,105261.88964225,174,1,4268.296,4239.829175890778,29.03705729617313,-32.90711481964718,0.04379937873566153,4193.35,4250.34,4236.89
2017-08-18 19:00:00.000,BTCUSDT,4086.28,4136.48,4015.7,4136.28,60.598026,246905.17944138,218,0,4251.509,4220.9959023831225,32.27222988696323,-39.44250723351888,0.029200150860193157,4117.41,4193.35,4250.34
2017-08-18 20:00:00.000,BTCUSDT,4135.0,4135.0,3981.13,4021.11,19.968037,80574.64559965,155,0,4217.989,4184.643297482868,24.831428764664565,-53.30069209072826,0.03826555354118636,4136.28,4117.41,4193.35
2017-08-18 21:00:00.000,BTCUSDT,4015.4,4015.4,3938.77,3975.69,14.738631,58543.24828101,154,1,4181.527,4146.6434812775815,22.616737808717772,-67.17407689804986,0.019274641634533907,4021.11,4136.28,4117.41
2017-08-18 22:00:00.000,BTCUSDT,3996.92,4131.83,3938.77,4113.75,29.906205,120902.09262269,209,0,4159.731,4140.661778358657,40.10377698172418,-66.26468805024706,0.04693041628684289,3975.69,4021.11,4136.28
2017-08-18 23:00:00.000,BTCUSDT,4106.35,4136.48,4085.88,4108.37,44.936836,184792.56721051,214,1,4141.259,4134.789686550082,39.72702599928684,-65.2262245592301,0.012316320097751531,4113.75,3975.69,4021.11
2017-08-19 00:00:00.000,BTCUSDT,4108.37,4178.31,4084.28,4163.49,41.308877,170057.40754781,196,0,4131.668,4140.008550269984,45.38773609573943,-59.2722577265622,0.022584418360558137,4108.37,4113.75,3975.69
2017-08-19 01:00:00.000,BTCUSDT,4163.49,4184.69,4143.11,4148.53,28.835177,120196.96993193,146,1,4122.832,4141.558056571066,44.17509344888419,-55.12539188641949,0.010022827362945411,4163.49,4108.37,4113.75
2017-08-19 02:00:00.000,BTCUSDT,4148.53,4184.0,4148.53,4156.39,18.754474,77993.67617113,121,0,4113.437,4144.25498973636,45.006439411040674,-50.621204782189125,0.008533847882417255,4148.53,4163.49,4108.37
2017-08-19 03:00:00.000,BTCUSDT,4180.0,4180.0,4103.52,4138.55,19.61192,81103.36858374,122,0,4107.957,4143.217650843362,43.425709408864556,-47.93853733833657,0.018479902381268697,4156.39,4148.53,4163.49
2017-08-19 04:00:00.000,BTCUSDT,4138.5,4156.0,4046.26,4068.26,17.353232,71543.77215114,98,1,4103.0419999999995,4129.588255715943,37.793446543056724,-50.89760373032277,0.02697467713469635,4138.55,4156.39,4148.53
2017-08-19 05:00:00.000,BTCUSDT,4123.95,4123.95,4027.83,4077.0,12.514194,51244.65338363,66,0,4097.114,4120.026334882554,38.85537882977198,-51.93872294079301,0.023576158940397326,4068.26,4138.55,4156.39
2017-08-19 06:00:00.000,BTCUSDT,4077.0,4082.0,3986.87,3986.87,51.455431,208849.63160484,167,1,4093.6899999999996,4095.815222504046,32.662977697954815,-59.35237790123847,0.023860823151996457,4077.0,4068.26,4138.55
2017-08-19 07:00:00.000,BTCUSDT,3969.12,4033.47,3933.21,4033.47,31.429222,125576.69706673,162,0,4099.468,4084.479394350012,38.15130152010082,-60.76703773747022,0.0248570089773817,3986.87,4077.0,4068.26
2017-08-19 08:00:00.000,BTCUSDT,4033.47,4064.84,3964.08,3999.0,18.006405,72459.21855918,112,1,4087.993,4068.9373125633306,35.82527127352057,-63.93263119619951,0.025196299074768745,4033.47,3986.87,4077.0
2017-08-19 09:00:00.000,BTCUSDT,3999.0,4082.25,3999.0,4068.2,5.184223,20895.48847039,48,0,4083.976,4068.803253096161,43.2991350488815,-60.16399209752626,0.02046359569342707,3999.0,4033.47,3986.87
2017-08-19 10:00:00.000,BTCUSDT,4054.0,4082.0,3982.08,4000.58,5.886831,23709.85973791,59,0,4067.685,4056.3988255885447,38.571912345568094,-61.919913121671016,0.024976378425128374,4068.2,3999.0,4033.47
2017-08-19 11:00:00.000,BTCUSDT,4016.0,4033.0,3850.0,3957.6,48.178583,190751.80134652,262,1,4048.5920000000006,4038.435166170481,35.88981814142913,-66.0185986748138,0.046240145542753186,4000.58,4068.2,3999.0
2017-08-19 12:00:00.000,BTCUSDT,3945.12,4095.0,3928.89,4095.0,22.230984,89837.07717694,173,0,4042.453,4048.7197922348514,48.27283670313321,-57.51678708625241,0.040564102564102596,3957.6,4000.58,4068.2
2017-08-19 13:00:00.000,BTCUSDT,4095.0,4100.0,4035.49,4039.84,12.705664,51761.33454379,54,1,4032.582,4047.1052703215646,44.5524086404183,-54.60058955007207,0.015968454196205843,4095.0,3957.6,4000.58
2017-08-19 14:00:00.000,BTCUSDT,4066.0,4068.31,4013.7,4042.41,4.334426,17524.48067602,34,0,4029.9970000000003,4046.2515786505387,44.76600316280065,-51.488576214887416,0.013509267986176595,4039.84,4095.0,3957.6
2017-08-19 15:00:00.000,BTCUSDT,4036.59,4063.44,3964.67,3972.05,8.244504,33201.04439541,59,1,4019.5019999999995,4032.7603029085367,40.20023921873763,-54.07638826037055,0.02486625294243526,4042.41,4039.84,4095.0
2017-08-19 16:00:00.000,BTCUSDT,4036.19,4049.69,3953.4,4000.0,4.084177,16307.55382071,39,1,4020.8149999999996,4026.8038554353957,42.700341804141146,-53.257991563693395,0.02407249999999999,3972.05,4042.41,4039.84
2017-08-19 17:00:00.000,BTCUSDT,3985.0,4048.99,3976.72,4027.37,3.069548,12263.24524165,25,1,4020.2050000000004,4026.906791217461,45.119979362384335,-49.82650706842014,0.01794471329924988,4000.0,3972.05,4042.41
2017-08-19 18:00:00.000,BTCUSDT,4013.69,4096.0,4013.69,4086.29,17.148202,69270.61900105,75,0,4028.934,4037.7037731701075,50.01352272958238,-41.87002768245475,0.0201429658687954,4027.37,4000.0,3972.05
2017-08-19 19:00:00.000,BTCUSDT,4073.47,4103.92,4073.47,4076.12,1.623129,6637.28485963,22,0,4029.7259999999997,4044.6885601578247,49.198067508624646,-35.97044950048803,0.007470339440448337,4086.29,4027.37,4000.0
2017-08-19 20:00:00.000,BTCUSDT,4088.71,4103.92,4051.47,4075.98,2.98757,12154.59138449,34,0,4037.2660000000005,4050.3779251676583,49.18617844860633,-30.949521300935885,0.012868070991516217,4076.12,4086.29,4027.37
2017-08-19 21:00:00.000,BTCUSDT,4075.98,4149.99,4074.23,4074.23,3.952194,16200.70034813,35,1,4048.928999999999,4054.7146737243465,49.02669091094632,-26.802645688170287,0.018594924685155174,4075.98,4076.12,4086.29
2017-08-19 22:00:00.000,BTCUSDT,4090.0,4141.0,4090.0,4139.98,2.358097,9725.38785592,36,0,4053.4269999999997,4070.217482776759,54.93863606912131,-18.00321156776272,0.01231890009130479,4074.23,4075.98,4076.12
2017-08-19 23:00:00.000,BTCUSDT,4120.78,4139.98,4120.78,4139.98,0.052699,217.87156282,8,0,4063.4410000000003,4082.90159185043,54.93863606912131,-10.903903221942073,0.004637703563785289,4139.98,4074.23,4075.98
2017-08-20 00:00:00.000,BTCUSDT,4120.98,4139.98,4044.0,4086.09,2.343924,9598.79150213,25,0,4067.8089999999997,4083.4813029852257,49.48322638409402,-9.516423427102836,0.023489448347931534,4139.98,4139.98,4074.23
2017-08-20 01:00:00.000,BTCUSDT,4086.09,4086.09,4052.82,4082.53,1.061151,4322.95571022,23,1,4078.857,4083.3083386688654,49.13610868797803,-8.604905941948346,0.008149358363563765,4086.09,4139.98,4139.98
2017-08-20 02:00:00.000,BTCUSDT,4096.33,4124.69,4082.62,4124.69,2.858561,11740.06128425,28,0,4091.326,4090.8322819767914,53.3129719911713,-4.429501576748407,0.010199554390754144,4082.53,4086.09,4139.98
